Timestamp,Ambient,LED Group 625:625,LED Group 940:940,LED Group 525:525,Skin Temperature,Acceleration X,Acceleration Y,Acceleration Z
02.03.2018 14:13:43.339,72748,,,,,,,
02.03.2018 14:13:43.347,,424287,,,,,,
02.03.2018 14:13:43.354,,,384622,,,,,
02.03.2018 14:13:43.362,,,,578864,,,,
02.03.2018 14:13:43.369,109615,,,,,,,
02.03.2018 14:13:43.377,,450822,,,,,,
02.03.2018 14:13:43.384,,,406849,,,,,
02.03.2018 14:13:43.392,,,,596756,,,,
02.03.2018 14:13:43.399,125387,,,,,,,
02.03.2018 14:13:43.407,,465172,,,,,,
02.03.2018 14:13:43.414,,,423116,,,,,
02.03.2018 14:13:43.422,,,,616297,,,,
02.03.2018 14:13:43.429,150508,,,,,,,
02.03.2018 14:13:43.437,,496212,,,,,,
02.03.2018 14:13:43.444,,,466036,,,,,
02.03.2018 14:13:43.452,,,,670043,,,,
02.03.2018 14:13:43.459,233737,,,,,,,
02.03.2018 14:13:43.467,,593681,,,,,,
02.03.2018 14:13:43.474,,,596158,,,,,
02.03.2018 14:13:43.482,,,,813698,,,,
02.03.2018 14:13:43.489,439248,,,,,,,
02.03.2018 14:13:43.497,,789634,,,,,,
02.03.2018 14:13:43.504,,,812571,,,,,
02.03.2018 14:13:43.512,,,,1013178,,,,
02.03.2018 14:13:43.519,686446,,,,,,,
02.03.2018 14:13:43.527,,994364,,,,,,
02.03.2018 14:13:43.534,,,1020549,,,,,
02.03.2018 14:13:43.542,,,,1195970,,,,
02.03.2018 14:13:43.549,903724,,,,,,,
02.03.2018 14:13:43.557,,1179077,,,,,,
02.03.2018 14:13:43.564,,,1214219,,,,,
02.03.2018 14:13:43.572,,,,1374960,,,,
02.03.2018 14:13:43.265,,,,,,-0.12890625,-0.234375,0.98046875
02.03.2018 14:13:43.285,,,,,,-0.10546875,-0.2421875,0.98828125
02.03.2018 14:13:43.305,,,,,,-0.08984375,-0.1796875,0.99609375
02.03.2018 14:13:43.325,,,,,,-0.06640625,-0.0703125,1.02734375
02.03.2018 14:13:43.345,,,,,,-0.0546875,-0.0390625,1.046875
02.03.2018 14:13:43.365,,,,,,-0.02734375,0.0078125,0.9921875
02.03.2018 14:13:43.580,1119332,,,,,,,
02.03.2018 14:13:43.587,,1366193,,,,,,
02.03.2018 14:13:43.595,,,1411376,,,,,
02.03.2018 14:13:43.602,,,,1562589,,,,
02.03.2018 14:13:43.610,1354481,,,,,,,
02.03.2018 14:13:43.617,,1589916,,,,,,
02.03.2018 14:13:43.625,,,1662539,,,,,
02.03.2018 14:13:43.632,,,,1811698,,,,
02.03.2018 14:13:43.640,1642556,,,,,,,
02.03.2018 14:13:43.647,,1846338,,,,,,
02.03.2018 14:13:43.655,,,1914969,,,,,
02.03.2018 14:13:43.662,,,,2042689,,,,
02.03.2018 14:13:43.670,1895421,,,,,,,
02.03.2018 14:13:43.677,,2080196,,,,,,
02.03.2018 14:13:43.685,,,2157017,,,,,
02.03.2018 14:13:43.692,,,,2287905,,,,
02.03.2018 14:13:43.700,2173074,,,,,,,
02.03.2018 14:13:43.707,,2361873,,,,,,
02.03.2018 14:13:43.715,,,2464009,,,,,
02.03.2018 14:13:43.722,,,,2617427,,,,
02.03.2018 14:13:43.730,2557088,,,,,,,
02.03.2018 14:13:43.737,,2786062,,,,,,
02.03.2018 14:13:43.745,,,2947623,,,,,
02.03.2018 14:13:43.752,,,,3145166,,,,
02.03.2018 14:13:43.760,3137663,,,,,,,
02.03.2018 14:13:43.767,,3418935,,,,,,
02.03.2018 14:13:43.775,,,3681469,,,,,
02.03.2018 14:13:43.782,,,,4051020,,,,
02.03.2018 14:13:43.790,4298704,,,,,,,
02.03.2018 14:13:43.797,,4907514,,,,,,
02.03.2018 14:13:43.805,,,5477654,,,,,
02.03.2018 14:13:43.812,,,,5491018,,,,
02.03.2018 14:13:43.385,,,,,,0.0703125,0.19921875,1.1015625
02.03.2018 14:13:43.405,,,,,,0.0859375,0.25,1.15234375
02.03.2018 14:13:43.425,,,,,,0.11328125,0.453125,1.08203125
02.03.2018 14:13:43.445,,,,,,0.1328125,0.51171875,0.91015625
02.03.2018 14:13:43.465,,,,,,0.12109375,0.52734375,0.31640625
02.03.2018 14:13:43.485,,,,,,0.3046875,0.71875,-0.05859375
02.03.2018 14:13:43.820,5490816,,,,,,,
02.03.2018 14:13:43.827,,5490754,,,,,,
02.03.2018 14:13:43.835,,,5490680,,,,,
02.03.2018 14:13:43.842,,,,5490529,,,,
02.03.2018 14:13:43.850,5490803,,,,,,,
02.03.2018 14:13:43.857,,5490746,,,,,,
02.03.2018 14:13:43.865,,,5490067,,,,,
02.03.2018 14:13:43.872,,,,5490344,,,,
02.03.2018 14:13:43.880,5490779,,,,,,,
02.03.2018 14:13:43.887,,5490646,,,,,,
02.03.2018 14:13:43.895,,,5490431,,,,,
02.03.2018 14:13:43.902,,,,5490261,,,,
02.03.2018 14:13:43.910,5490743,,,,,,,
02.03.2018 14:13:43.917,,5491199,,,,,,
02.03.2018 14:13:43.925,,,5490744,,,,,
02.03.2018 14:13:43.932,,,,5491069,,,,
02.03.2018 14:13:43.940,5490406,,,,,,,
