Timestamp,SpO2,Heart Rate,HR Confidence,HR Interval,Respiration (HR Variance),Respiration (Oxygen),Temperature,Interpolation SpO2
23.02.2018 14:59:29.357,,,,,,,25.4258,
23.02.2018 14:59:34.368,,,,,,,25.4023,
23.02.2018 14:59:39.380,,,,,,,25.4375,
23.02.2018 14:59:44.366,,,,,,,25.4609,
23.02.2018 14:59:49.366,,,,,,,25.4727,
23.02.2018 14:59:54.376,,,,,,,25.4844,
23.02.2018 14:59:59.356,,,,,,,25.5039,
23.02.2018 15:00:04.369,,,,,,,25.5469,
23.02.2018 15:00:09.378,,,,,,,25.5703,
23.02.2018 15:00:11.090,,52.4105,,,,,,
23.02.2018 15:00:14.364,,,,,,,25.5977,
23.02.2018 15:00:16.090,,54.3715,,,,,,
23.02.2018 15:00:16.112,100.0,,,,,,,
23.02.2018 15:00:19.382,,,,,,,25.5859,
23.02.2018 15:00:21.089,,61.3767,,,,,,
23.02.2018 15:00:21.095,100.0,,,,,,,
23.02.2018 15:00:24.374,,,,,,,25.6211,
23.02.2018 15:00:26.111,,64.6884,,,,,,
23.02.2018 15:00:26.115,99.7011,,,,,,,
23.02.2018 15:00:29.355,,,,,,,25.6367,
23.02.2018 15:00:31.089,,66.1153,,,,,,
23.02.2018 15:00:31.095,100.0,,,,,,,
23.02.2018 15:00:34.365,,,,,,,25.6719,
23.02.2018 15:00:36.106,,60.9606,,,,,,
23.02.2018 15:00:36.112,100.0,,,,,,,
23.02.2018 15:00:39.375,,,,,,,25.6992,
23.02.2018 15:00:41.088,,56.7299,,,,,,
23.02.2018 15:00:41.092,99.8698,,,,,,,
23.02.2018 15:00:44.358,,,,,,,25.6758,
23.02.2018 15:00:46.100,,54.932,,,,,,
23.02.2018 15:00:46.105,100.0,,,,,,,
23.02.2018 15:00:49.375,,,,,,,25.7109,
23.02.2018 15:00:51.087,,53.4622,,,,,,
23.02.2018 15:00:51.092,100.0,,,,,,,
23.02.2018 15:00:54.384,,,,,,,25.707,
23.02.2018 15:00:56.099,,57.324,,,,,,
23.02.2018 15:00:56.105,99.0877,,,,,,,
23.02.2018 15:00:59.354,,,,,,,25.7031,
23.02.2018 15:01:01.086,97.6778,,,,,,,
23.02.2018 15:01:04.362,,,,,,,25.7227,
23.02.2018 15:01:06.093,97.6778,,,,,,,
23.02.2018 15:01:09.376,,,,,,,25.7422,
23.02.2018 15:01:14.361,,,,,,,25.7344,
23.02.2018 15:01:19.383,,,,,,,25.75,
23.02.2018 15:01:24.394,,,,,,,25.7539,
23.02.2018 15:01:29.363,,,,,,,25.7539,
23.02.2018 15:01:34.375,,,,,,,25.7578,
23.02.2018 15:01:36.105,,59.8697,,,,,,
23.02.2018 15:01:36.110,,,,,26.0414,,,
23.02.2018 15:01:39.384,,,,,,,25.7578,
23.02.2018 15:01:41.099,,58.3402,,,,,,
23.02.2018 15:01:41.104,,,,,25.4549,,,
23.02.2018 15:01:41.108,96.5205,,,,,,,
23.02.2018 15:01:44.364,,,,,,,25.7656,
23.02.2018 15:01:46.106,,58.0109,,,,,,
23.02.2018 15:01:46.110,96.5221,,,,,,,
23.02.2018 15:01:49.376,,,,,,,25.7812,
23.02.2018 15:01:51.098,,56.4849,,,,,,
23.02.2018 15:01:51.104,97.0567,,,,,,,
23.02.2018 15:01:54.395,,,,,,,25.7891,
23.02.2018 15:01:56.102,,56.6852,,,,,,
23.02.2018 15:01:56.106,98.811,,,,,,,
23.02.2018 15:01:59.364,,,,,,,25.7656,
23.02.2018 15:02:01.098,95.6637,,,,,,,
23.02.2018 15:02:04.374,,,,,,,25.7812,
23.02.2018 15:02:06.108,95.6637,,,,,,,
23.02.2018 15:02:09.385,,,,,,,25.7852,
