Timestamp,Ambient,LED Group 625:625,LED Group 940:940,LED Group 525:525,Skin Temperature,Acceleration X,Acceleration Y,Acceleration Z
23.02.2018 14:55:43.252,-3438254,,,,,,,
23.02.2018 14:55:43.260,,-3374413,,,,,,
23.02.2018 14:55:43.267,,,-3357387,,,,,
23.02.2018 14:55:43.275,,,,-3326629,,,,
23.02.2018 14:55:43.282,-3438249,,,,,,,
23.02.2018 14:55:43.290,,-3374736,,,,,,
23.02.2018 14:55:43.297,,,-3359117,,,,,
23.02.2018 14:55:43.305,,,,-3331124,,,,
23.02.2018 14:55:43.312,-3444376,,,,,,,
23.02.2018 14:55:43.320,,-3380771,,,,,,
23.02.2018 14:55:43.327,,,-3364289,,,,,
23.02.2018 14:55:43.335,,,,-3335036,,,,
23.02.2018 14:55:43.342,-3449440,,,,,,,
23.02.2018 14:55:43.350,,-3387078,,,,,,
23.02.2018 14:55:43.358,,,-3371027,,,,,
23.02.2018 14:55:43.365,,,,-3343207,,,,
23.02.2018 14:55:43.373,-3457234,,,,,,,
23.02.2018 14:55:43.380,,-3395983,,,,,,
23.02.2018 14:55:43.388,,,-3379540,,,,,
23.02.2018 14:55:43.395,,,,-3351207,,,,
23.02.2018 14:55:43.403,-3464476,,,,,,,
23.02.2018 14:55:43.410,,-3400727,,,,,,
23.02.2018 14:55:43.418,,,-3384532,,,,,
23.02.2018 14:55:43.425,,,,-3354532,,,,
23.02.2018 14:55:43.433,-3466909,,,,,,,
23.02.2018 14:55:43.440,,-3402834,,,,,,
23.02.2018 14:55:43.448,,,-3385206,,,,,
23.02.2018 14:55:43.455,,,,-3355483,,,,
23.02.2018 14:55:43.463,-3467455,,,,,,,
23.02.2018 14:55:43.470,,-3402544,,,,,,
23.02.2018 14:55:43.478,,,-3385474,,,,,
23.02.2018 14:55:43.485,,,,-3354966,,,,
23.02.2018 14:55:43.219,,,,,,-0.171875,0.88671875,-0.296875
23.02.2018 14:55:43.239,,,,,,-0.07421875,0.94140625,-0.41015625
23.02.2018 14:55:43.259,,,,,,0.0,0.80078125,-0.19921875
23.02.2018 14:55:43.279,,,,,,-0.015625,0.65234375,-0.4375
23.02.2018 14:55:43.299,,,,,,-0.08984375,0.6953125,-0.6484375
23.02.2018 14:55:43.319,,,,,,-0.23046875,0.7421875,-0.97265625
23.02.2018 14:55:43.493,-3466859,,,,,,,
23.02.2018 14:55:43.500,,-3402366,,,,,,
23.02.2018 14:55:43.508,,,-3383766,,,,,
23.02.2018 14:55:43.515,,,,-3353764,,,,
23.02.2018 14:55:43.523,-3464624,,,,,,,
23.02.2018 14:55:43.530,,-3400166,,,,,,
23.02.2018 14:55:43.538,,,-3382917,,,,,
23.02.2018 14:55:43.545,,,,-3352811,,,,
23.02.2018 14:55:43.553,-3464886,,,,,,,
23.02.2018 14:55:43.560,,-3401377,,,,,,
