Timestamp,Ambient,LED Group 625:625,LED Group 940:940,LED Group 525:525,Skin Temperature,Acceleration X,Acceleration Y,Acceleration Z
23.02.2018 14:59:23.294,,,,,,0.14453125,0.33203125,0.90625
23.02.2018 14:59:23.314,,,,,,-0.02734375,0.328125,0.8203125
23.02.2018 14:59:23.334,,,,,,-0.1796875,0.2421875,0.76953125
23.02.2018 14:59:23.354,,,,,,-0.22265625,0.71875,0.578125
23.02.2018 14:59:23.374,,,,,,-0.0234375,0.7578125,0.5859375
23.02.2018 14:59:23.394,,,,,,0.15625,-0.25,-0.77734375
23.02.2018 14:59:23.414,,,,,,0.0390625,0.1171875,-1.2109375
23.02.2018 14:59:23.434,,,,,,0.09375,0.20703125,-1.203125
23.02.2018 14:59:23.454,,,,,,0.1328125,-0.2109375,-0.7265625
23.02.2018 14:59:23.474,,,,,,0.04296875,0.26171875,-1.203125
23.02.2018 14:59:23.494,,,,,,0.09765625,-0.23046875,-0.74609375
23.02.2018 14:59:23.514,,,,,,0.078125,0.13671875,-1.16015625
23.02.2018 14:59:23.311,-3798584,,,,,,,
23.02.2018 14:59:23.319,,-3698054,,,,,,
23.02.2018 14:59:23.326,,,-3686284,,,,,
23.02.2018 14:59:23.334,,,,-3667496,,,,
23.02.2018 14:59:23.341,-3772166,,,,,,,
23.02.2018 14:59:23.349,,-3665442,,,,,,
23.02.2018 14:59:23.357,,,-3618251,,,,,
23.02.2018 14:59:23.364,,,,-3576094,,,,
23.02.2018 14:59:23.372,-3676267,,,,,,,
23.02.2018 14:59:23.379,,-3591472,,,,,,
23.02.2018 14:59:23.387,,,-3585842,,,,,
23.02.2018 14:59:23.394,,,,-3595609,,,,
23.02.2018 14:59:23.402,-3738477,,,,,,,
23.02.2018 14:59:23.409,,-3679744,,,,,,
23.02.2018 14:59:23.417,,,-3678092,,,,,
23.02.2018 14:59:23.424,,,,-3671757,,,,
23.02.2018 14:59:23.432,-3788094,,,,,,,
23.02.2018 14:59:23.439,,-3688841,,,,,,
23.02.2018 14:59:23.447,,,-3653497,,,,,
23.02.2018 14:59:23.454,,,,-3618870,,,,
23.02.2018 14:59:23.462,-3720369,,,,,,,
23.02.2018 14:59:23.469,,-3621602,,,,,,
23.02.2018 14:59:23.477,,,-3604629,,,,,
23.02.2018 14:59:23.484,,,,-3599109,,,,
23.02.2018 14:59:23.492,-3729838,,,,,,,
23.02.2018 14:59:23.499,,-3664514,,,,,,
23.02.2018 14:59:23.507,,,-3662307,,,,,
23.02.2018 14:59:23.514,,,,-3653176,,,,
23.02.2018 14:59:23.522,-3767329,,,,,,,
23.02.2018 14:59:23.529,,-3675039,,,,,,
23.02.2018 14:59:23.537,,,-3642011,,,,,
23.02.2018 14:59:23.544,,,,-3606324,,,,
23.02.2018 14:59:23.534,,,,,,0.1015625,-0.0390625,-1.00390625
23.02.2018 14:59:23.554,,,,,,0.32421875,0.41015625,-1.15234375
23.02.2018 14:59:23.574,,,,,,-0.09375,0.05859375,-0.9921875
23.02.2018 14:59:23.594,,,,,,0.0625,0.05859375,-0.984375
23.02.2018 14:59:23.614,,,,,,-0.30859375,0.32421875,-1.15625
23.02.2018 14:59:23.634,,,,,,0.15625,-0.390625,-0.53515625
23.02.2018 14:59:23.552,-3701189,,,,,,,
23.02.2018 14:59:23.559,,-3601432,,,,,,
23.02.2018 14:59:23.567,,,-3582651,,,,,
23.02.2018 14:59:23.574,,,,-3593072,,,,
23.02.2018 14:59:23.582,-3732996,,,,,,,
23.02.2018 14:59:23.589,,-3666395,,,,,,
23.02.2018 14:59:23.597,,,-3647938,,,,,
23.02.2018 14:59:23.604,,,,-3622286,,,,
23.02.2018 14:59:23.612,-3725667,,,,,,,
23.02.2018 14:59:23.619,,-3640727,,,,,,
23.02.2018 14:59:23.627,,,-3622284,,,,,
23.02.2018 14:59:23.634,,,,-3608462,,,,
23.02.2018 14:59:23.642,-3722324,,,,,,,
23.02.2018 14:59:23.649,,-3639906,,,,,,
23.02.2018 14:59:23.657,,,-3618581,,,,,
23.02.2018 14:59:23.664,,,,-3601199,,,,
23.02.2018 14:59:23.672,-3717484,,,,,,,
23.02.2018 14:59:23.679,,-3642515,,,,,,
23.02.2018 14:59:23.687,,,-3630302,,,,,
23.02.2018 14:59:23.694,,,,-3619503,,,,
23.02.2018 14:59:23.702,-3734712,,,,,,,
23.02.2018 14:59:23.709,,-3642981,,,,,,
23.02.2018 14:59:23.717,,,-3600558,,,,,
23.02.2018 14:59:23.724,,,,-3545444,,,,
23.02.2018 14:59:23.732,-3616034,,,,,,,
23.02.2018 14:59:23.739,,-3498907,,,,,,
23.02.2018 14:59:23.747,,,-3460956,,,,,
23.02.2018 14:59:23.754,,,,-3442612,,,,
23.02.2018 14:59:23.762,-3570828,,,,,,,
23.02.2018 14:59:23.769,,-3532972,,,,,,
23.02.2018 14:59:23.777,,,-3559337,,,,,
23.02.2018 14:59:23.784,,,,-3583312,,,,
23.02.2018 14:59:23.654,,,,,,0.08203125,0.21875,-1.30078125
23.02.2018 14:59:23.674,,,,,,0.0625,0.16796875,-1.2265625
23.02.2018 14:59:23.694,,,,,,0.11328125,-0.2578125,-0.73828125
23.02.2018 14:59:23.714,,,,,,0.26171875,-0.41015625,-0.86328125
23.02.2018 14:59:23.734,,,,,,0.07421875,-0.02734375,-1.015625
23.02.2018 14:59:23.754,,,,,,0.0234375,-0.07421875,-0.984375
23.02.2018 14:59:23.792,-3720597,,,,,,,
23.02.2018 14:59:23.799,,-3654569,,,,,,
23.02.2018 14:59:23.807,,,-3636618,,,,,
23.02.2018 14:59:23.814,,,,-3606599,,,,
23.02.2018 14:59:23.822,-3695689,,,,,,,
23.02.2018 14:59:23.829,,-3586508,,,,,,
23.02.2018 14:59:23.837,,,-3542735,,,,,
23.02.2018 14:59:23.844,,,,-3509459,,,,
23.02.2018 14:59:23.852,-3615368,,,,,,,
23.02.2018 14:59:23.859,,-3551164,,,,,,
23.02.2018 14:59:23.867,,,-3557634,,,,,
23.02.2018 14:59:23.874,,,,-3566069,,,,
23.02.2018 14:59:23.882,-3691076,,,,,,,
23.02.2018 14:59:23.890,,-3608497,,,,,,
23.02.2018 14:59:23.897,,,-3580878,,,,,
23.02.2018 14:59:23.905,,,,-3560930,,,,
23.02.2018 14:59:23.912,-3671946,,,,,,,
23.02.2018 14:59:23.920,,-3588728,,,,,,
23.02.2018 14:59:23.927,,,-3569070,,,,,
23.02.2018 14:59:23.935,,,,-3549750,,,,
23.02.2018 14:59:23.942,-3660311,,,,,,,
23.02.2018 14:59:23.950,,-3578939,,,,,,
23.02.2018 14:59:23.957,,,-3562461,,,,,
23.02.2018 14:59:23.965,,,,-3544956,,,,
23.02.2018 14:59:23.972,-3657137,,,,,,,
23.02.2018 14:59:23.980,,-3577867,,,,,,
23.02.2018 14:59:23.987,,,-3563799,,,,,
23.02.2018 14:59:23.995,,,,-3546213,,,,
23.02.2018 14:59:24.002,-3659629,,,,,,,
23.02.2018 14:59:24.010,,-3580888,,,,,,
23.02.2018 14:59:24.017,,,-3566496,,,,,
23.02.2018 14:59:24.025,,,,-3549031,,,,
23.02.2018 14:59:23.774,,,,,,-0.0703125,-0.15625,-1.015625
23.02.2018 14:59:23.794,,,,,,-0.1328125,-0.0703125,-1.03125
23.02.2018 14:59:23.814,,,,,,-0.0078125,-0.09375,-1.0078125
23.02.2018 14:59:23.834,,,,,,0.0390625,-0.0390625,-0.9609375
23.02.2018 14:59:23.854,,,,,,0.0234375,-0.125,-0.87109375
23.02.2018 14:59:23.874,,,,,,0.125,0.01953125,-1.05859375
23.02.2018 14:59:24.032,-3662084,,,,,,,
23.02.2018 14:59:24.040,,-3583251,,,,,,
23.02.2018 14:59:24.047,,,-3569280,,,,,
23.02.2018 14:59:24.055,,,,-3554677,,,,
23.02.2018 14:59:24.062,-3671832,,,,,,,
23.02.2018 14:59:24.070,,-3594834,,,,,,
23.02.2018 14:59:24.077,,,-3585067,,,,,
23.02.2018 14:59:24.085,,,,-3573160,,,,
23.02.2018 14:59:24.092,-3693966,,,,,,,
23.02.2018 14:59:24.100,,-3615104,,,,,,
23.02.2018 14:59:24.107,,,-3603032,,,,,
23.02.2018 14:59:24.115,,,,-3590695,,,,
23.02.2018 14:59:24.122,-3710344,,,,,,,
23.02.2018 14:59:24.130,,-3628149,,,,,,
23.02.2018 14:59:24.137,,,-3615602,,,,,
23.02.2018 14:59:24.145,,,,-3602045,,,,
23.02.2018 14:59:24.152,-3718496,,,,,,,
23.02.2018 14:59:24.160,,-3632689,,,,,,
23.02.2018 14:59:24.167,,,-3619006,,,,,
23.02.2018 14:59:24.175,,,,-3602987,,,,
23.02.2018 14:59:24.182,-3717949,,,,,,,
23.02.2018 14:59:24.190,,-3628799,,,,,,
23.02.2018 14:59:24.197,,,-3613046,,,,,
23.02.2018 14:59:24.205,,,,-3596224,,,,
23.02.2018 14:59:24.212,-3712204,,,,,,,
23.02.2018 14:59:24.220,,-3625637,,,,,,
23.02.2018 14:59:24.227,,,-3614304,,,,,
23.02.2018 14:59:24.235,,,,-3598771,,,,
23.02.2018 14:59:24.242,-3716387,,,,,,,
23.02.2018 14:59:24.250,,-3622415,,,,,,
23.02.2018 14:59:24.257,,,-3605739,,,,,
23.02.2018 14:59:24.265,,,,-3587941,,,,
23.02.2018 14:59:23.894,,,,,,0.1640625,-0.07421875,-1.02734375
23.02.2018 14:59:23.914,,,,,,0.04296875,-0.06640625,-1.02734375
23.02.2018 14:59:23.934,,,,,,0.140625,-0.0703125,-0.86328125
23.02.2018 14:59:23.954,,,,,,-0.01171875,0.12109375,-1.5859375
23.02.2018 14:59:23.974,,,,,,0.3125,-0.2578125,-1.1796875
23.02.2018 14:59:23.994,,,,,,0.1953125,0.06640625,-1.48046875
23.02.2018 14:59:24.272,-3703009,,,,,,,
23.02.2018 14:59:24.280,,-3609062,,,,,,
23.02.2018 14:59:24.287,,,-3591506,,,,,
23.02.2018 14:59:24.295,,,,-3573781,,,,
23.02.2018 14:59:24.302,-3689600,,,,,,,
23.02.2018 14:59:24.310,,-3595186,,,,,,
23.02.2018 14:59:24.317,,,-3577746,,,,,
23.02.2018 14:59:24.325,,,,-3558920,,,,
23.02.2018 14:59:24.332,-3672753,,,,,,,
23.02.2018 14:59:24.340,,-3577822,,,,,,
23.02.2018 14:59:24.347,,,-3558304,,,,,
23.02.2018 14:59:24.355,,,,-3531928,,,,
23.02.2018 14:59:24.362,-3636178,,,,,,,
23.02.2018 14:59:24.370,,-3537368,,,,,,
23.02.2018 14:59:24.377,,,-3533414,,,,,
23.02.2018 14:59:24.385,,,,-3519175,,,,
23.02.2018 14:59:24.392,-3642388,,,,,,,
23.02.2018 14:59:24.400,,-3549610,,,,,,
23.02.2018 14:59:24.407,,,-3535922,,,,,
23.02.2018 14:59:24.415,,,,-3520361,,,,
23.02.2018 14:59:24.422,-3640822,,,,,,,
23.02.2018 14:59:24.430,,-3543562,,,,,,
23.02.2018 14:59:24.438,,,-3525361,,,,,
23.02.2018 14:59:24.445,,,,-3502439,,,,
23.02.2018 14:59:24.453,-3610609,,,,,,,
23.02.2018 14:59:24.460,,-3501584,,,,,,
23.02.2018 14:59:24.468,,,-3481179,,,,,
23.02.2018 14:59:24.475,,,,-3459329,,,,
23.02.2018 14:59:24.483,-3574678,,,,,,,
23.02.2018 14:59:24.490,,-3465329,,,,,,
23.02.2018 14:59:24.498,,,-3455349,,,,,
23.02.2018 14:59:24.505,,,,-3443422,,,,
23.02.2018 14:59:24.014,,,,,,0.21875,-0.125,-0.98828125
