Timestamp,Ambient,LED Group 625:625,LED Group 940:940,LED Group 525:525,Skin Temperature,Acceleration X,Acceleration Y,Acceleration Z
07.03.2018 15:11:26.326,-3756722,,,,,,,
07.03.2018 15:11:26.333,,-3670629,,,,,,
07.03.2018 15:11:26.341,,,-3624851,,,,,
07.03.2018 15:11:26.348,,,,-3548758,,,,
07.03.2018 15:11:26.356,-3722800,,,,,,,
07.03.2018 15:11:26.363,,-3637124,,,,,,
07.03.2018 15:11:26.371,,,-3588591,,,,,
07.03.2018 15:11:26.378,,,,-3509766,,,,
07.03.2018 15:11:26.386,-3684384,,,,,,,
07.03.2018 15:11:26.393,,-3599760,,,,,,
07.03.2018 15:11:26.401,,,-3552074,,,,,
07.03.2018 15:11:26.408,,,,-3471984,,,,
07.03.2018 15:11:26.416,-3644938,,,,,,,
07.03.2018 15:11:26.423,,-3558858,,,,,,
07.03.2018 15:11:26.431,,,-3505643,,,,,
07.03.2018 15:11:26.438,,,,-3421302,,,,
07.03.2018 15:11:26.446,-3594379,,,,,,,
07.03.2018 15:11:26.453,,-3513763,,,,,,
07.03.2018 15:11:26.461,,,-3467529,,,,,
07.03.2018 15:11:26.468,,,,-3390067,,,,
07.03.2018 15:11:26.476,-3571006,,,,,,,
07.03.2018 15:11:26.483,,-3496063,,,,,,
07.03.2018 15:11:26.491,,,-3452912,,,,,
07.03.2018 15:11:26.498,,,,-3375012,,,,
07.03.2018 15:11:26.506,-3557452,,,,,,,
07.03.2018 15:11:26.513,,-3484896,,,,,,
07.03.2018 15:11:26.521,,,-3443984,,,,,
07.03.2018 15:11:26.528,,,,-3366482,,,,
07.03.2018 15:11:26.536,-3548930,,,,,,,
07.03.2018 15:11:26.543,,-3476609,,,,,,
07.03.2018 15:11:26.551,,,-3435611,,,,,
07.03.2018 15:11:26.558,,,,-3360059,,,,
07.03.2018 15:11:26.317,,,,,,0.2578125,0.796875,-0.484375
07.03.2018 15:11:26.337,,,,,,0.2734375,0.7421875,-0.5390625
07.03.2018 15:11:26.357,,,,,,0.36328125,0.65234375,-0.51171875
07.03.2018 15:11:26.377,,,,,,0.25,0.87890625,-0.4921875
07.03.2018 15:11:26.397,,,,,,0.18359375,0.64453125,-0.5234375
07.03.2018 15:11:26.417,,,,,,0.3671875,0.76953125,-0.47265625
07.03.2018 15:11:26.566,-3543073,,,,,,,
07.03.2018 15:11:26.573,,-3470549,,,,,,
07.03.2018 15:11:26.581,,,-3429911,,,,,
07.03.2018 15:11:26.588,,,,-3353326,,,,
07.03.2018 15:11:26.596,-3536521,,,,,,,
07.03.2018 15:11:26.603,,-3461726,,,,,,
