Timestamp,Ambient,LED Group 625:625,LED Group 940:940,LED Group 525:525,Skin Temperature,Acceleration X,Acceleration Y,Acceleration Z
07.03.2018 15:25:58.885,-3627459,,,,,,,
07.03.2018 15:25:58.892,,-3548149,,,,,,
07.03.2018 15:25:58.900,,,-3512151,,,,,
07.03.2018 15:25:58.907,,,,-3450409,,,,
07.03.2018 15:25:58.915,-3621913,,,,,,,
07.03.2018 15:25:58.922,,-3544282,,,,,,
07.03.2018 15:25:58.930,,,-3509287,,,,,
07.03.2018 15:25:58.937,,,,-3446391,,,,
07.03.2018 15:25:58.945,-3616384,,,,,,,
07.03.2018 15:25:58.952,,-3538427,,,,,,
07.03.2018 15:25:58.960,,,-3501682,,,,,
07.03.2018 15:25:58.967,,,,-3440203,,,,
07.03.2018 15:25:58.975,-3609686,,,,,,,
07.03.2018 15:25:58.982,,-3533209,,,,,,
07.03.2018 15:25:58.990,,,-3496476,,,,,
07.03.2018 15:25:58.997,,,,-3432952,,,,
07.03.2018 15:25:59.005,-3602381,,,,,,,
07.03.2018 15:25:59.012,,-3525933,,,,,,
07.03.2018 15:25:59.020,,,-3488168,,,,,
07.03.2018 15:25:59.027,,,,-3424161,,,,
07.03.2018 15:25:59.035,-3591857,,,,,,,
07.03.2018 15:25:59.042,,-3516502,,,,,,
07.03.2018 15:25:59.050,,,-3478129,,,,,
07.03.2018 15:25:59.057,,,,-3412643,,,,
07.03.2018 15:25:59.065,-3581983,,,,,,,
07.03.2018 15:25:59.072,,-3507912,,,,,,
07.03.2018 15:25:59.080,,,-3469455,,,,,
07.03.2018 15:25:59.087,,,,-3404546,,,,
07.03.2018 15:25:59.095,-3573112,,,,,,,
07.03.2018 15:25:59.102,,-3499437,,,,,,
07.03.2018 15:25:59.110,,,-3459786,,,,,
07.03.2018 15:25:59.117,,,,-3392715,,,,
07.03.2018 15:25:58.871,,,,,,0.078125,0.1796875,-0.98046875
07.03.2018 15:25:58.891,,,,,,0.0234375,0.19921875,-1.0
07.03.2018 15:25:58.911,,,,,,0.04296875,0.2265625,-0.97265625
07.03.2018 15:25:58.931,,,,,,0.015625,0.2421875,-1.01171875
07.03.2018 15:25:58.951,,,,,,-0.03515625,0.25,-0.98046875
07.03.2018 15:25:58.971,,,,,,-0.15234375,0.16796875,-1.0546875
07.03.2018 15:25:59.125,-3560623,,,,,,,
07.03.2018 15:25:59.132,,-3485966,,,,,,
07.03.2018 15:25:59.140,,,-3444035,,,,,
07.03.2018 15:25:59.147,,,,-3375211,,,,
07.03.2018 15:25:59.155,-3543710,,,,,,,
07.03.2018 15:25:59.162,,-3471021,,,,,,
07.03.2018 15:25:59.170,,,-3429675,,,,,
07.03.2018 15:25:59.177,,,,-3357488,,,,
07.03.2018 15:25:59.185,-3520741,,,,,,,
07.03.2018 15:25:59.192,,-3439609,,,,,,
07.03.2018 15:25:59.200,,,-3397004,,,,,
07.03.2018 15:25:59.207,,,,-3329454,,,,
07.03.2018 15:25:59.215,-3502371,,,,,,,
07.03.2018 15:25:59.222,,-3432436,,,,,,
07.03.2018 15:25:59.230,,,-3399549,,,,,
07.03.2018 15:25:59.237,,,,-3334658,,,,
07.03.2018 15:25:59.245,-3510652,,,,,,,
07.03.2018 15:25:59.252,,-3431897,,,,,,
07.03.2018 15:25:59.260,,,-3394659,,,,,
07.03.2018 15:25:59.267,,,,-3324637,,,,
07.03.2018 15:25:59.275,-3498741,,,,,,,
07.03.2018 15:25:59.282,,-3417954,,,,,,
