Timestamp,SpO2,Heart Rate,HR Confidence,HR Interval,Respiration (HR Variance),Respiration (Oxygen),Temperature,Interpolation SpO2
07.03.2018 15:26:04.931,,,,,,,24.5352,
07.03.2018 15:26:09.941,,,,,,,24.793,
07.03.2018 15:26:14.959,,,,,,,25.1367,
07.03.2018 15:26:19.938,,,,,,,25.4492,
07.03.2018 15:26:24.954,,,,,,,25.7461,
07.03.2018 15:26:29.948,,,,,,,25.9922,
07.03.2018 15:26:30.449,,59.7454,,,,,,
07.03.2018 15:26:34.929,,,,,,,26.2539,
07.03.2018 15:26:35.441,100.0,,,,,,,
07.03.2018 15:26:39.939,,,,,,,26.5117,
07.03.2018 15:26:40.446,100.0,,,,,,,
07.03.2018 15:26:44.949,,,,,,,26.6875,
07.03.2018 15:26:45.434,,51.7321,,,,,,
07.03.2018 15:26:45.439,100.0,,,,,,,
07.03.2018 15:26:49.938,,,,,,,26.8828,
07.03.2018 15:26:50.448,96.4419,,,,,,,
07.03.2018 15:26:54.944,,,,,,,27.0586,
07.03.2018 15:26:55.433,96.4419,,,,,,,
07.03.2018 15:26:59.947,,,,,,,27.1836,
07.03.2018 15:27:04.927,,,,,,,27.3906,
07.03.2018 15:27:05.433,,48.3981,,,,,,
07.03.2018 15:27:05.439,,,,,24.1991,,,
07.03.2018 15:27:09.938,,,,,,,27.5547,
07.03.2018 15:27:10.441,92.0,,,,,,,
07.03.2018 15:27:14.946,,,,,,,27.707,
07.03.2018 15:27:15.431,92.0,,,,,,,
07.03.2018 15:27:19.932,,,,,,,27.8477,
07.03.2018 15:27:20.445,,56.3742,,,,,,
07.03.2018 15:27:20.450,92.0,,,,,,,
07.03.2018 15:27:24.939,,,,,,,27.9883,
07.03.2018 15:27:25.431,,51.2347,,,,,,
07.03.2018 15:27:25.436,92.0,,,,,,,
07.03.2018 15:27:29.962,,,,,,,28.0977,
07.03.2018 15:27:30.449,,51.7321,,,,,,
07.03.2018 15:27:30.454,94.5927,,,,,,,
07.03.2018 15:27:34.925,,,,,,,28.2188,
07.03.2018 15:27:35.430,,55.3122,,,,,,
07.03.2018 15:27:35.436,92.0,,,,,,,
07.03.2018 15:27:39.935,,,,,,,28.332,
07.03.2018 15:27:40.440,,55.1637,,,,,,
07.03.2018 15:27:40.445,92.0,,,,,,,
07.03.2018 15:27:44.946,,,,,,,28.4336,
07.03.2018 15:27:45.430,,52.4105,,,,,,
07.03.2018 15:27:45.434,92.0,,,,,,,
07.03.2018 15:27:49.930,,,,,,,28.5273,
07.03.2018 15:27:50.442,,54.8273,,,,,,
07.03.2018 15:27:50.446,,,,,27.4137,,,
07.03.2018 15:27:50.450,98.4858,,,,,,,
07.03.2018 15:27:54.935,,,,,,,28.6406,
07.03.2018 15:27:55.432,,54.0041,,,,,,
07.03.2018 15:27:55.440,,,,,25.526,,,
07.03.2018 15:27:55.444,97.4483,,,,,,,
07.03.2018 15:27:59.944,,,,,,,28.7188,
07.03.2018 15:28:00.429,92.6956,,,,,,,
07.03.2018 15:28:04.924,,,,,,,28.8203,
07.03.2018 15:28:05.428,92.6956,,,,,,,
07.03.2018 15:28:09.934,,,,,,,28.9062,
07.03.2018 15:28:10.432,,60.145,,,,,,
07.03.2018 15:28:10.438,92.6956,,,,,,,
07.03.2018 15:28:14.943,,,,,,,29.0039,
07.03.2018 15:28:15.429,,57.4548,,,,,,
07.03.2018 15:28:15.434,92.0,,,,,,,
07.03.2018 15:28:19.923,,,,,,,29.0469,
07.03.2018 15:28:20.429,,57.5599,,,,,,
07.03.2018 15:28:20.434,92.0,,,,,,,
