Timestamp,Ambient,LED Group 625:625,LED Group 940:940,LED Group 525:525,Skin Temperature,Acceleration X,Acceleration Y,Acceleration Z
07.03.2018 15:30:47.269,-3671656,,,,,,,
07.03.2018 15:30:47.276,,-3653052,,,,,,
07.03.2018 15:30:47.284,,,-3692282,,,,,
07.03.2018 15:30:47.291,,,,-3685507,,,,
07.03.2018 15:30:47.299,-3883425,,,,,,,
07.03.2018 15:30:47.306,,-3828325,,,,,,
07.03.2018 15:30:47.314,,,-3825806,,,,,
07.03.2018 15:30:47.321,,,,-3810730,,,,
07.03.2018 15:30:47.329,-3976584,,,,,,,
07.03.2018 15:30:47.336,,-3930066,,,,,,
07.03.2018 15:30:47.344,,,-3914276,,,,,
07.03.2018 15:30:47.351,,,,-3858940,,,,
07.03.2018 15:30:47.359,-4007443,,,,,,,
07.03.2018 15:30:47.366,,-3945615,,,,,,
07.03.2018 15:30:47.374,,,-3923980,,,,,
07.03.2018 15:30:47.381,,,,-3870596,,,,
07.03.2018 15:30:47.389,-4027286,,,,,,,
07.03.2018 15:30:47.396,,-3952912,,,,,,
07.03.2018 15:30:47.404,,,-3932134,,,,,
07.03.2018 15:30:47.411,,,,-3871119,,,,
07.03.2018 15:30:47.419,-4019980,,,,,,,
07.03.2018 15:30:47.426,,-3946879,,,,,,
07.03.2018 15:30:47.434,,,-3915700,,,,,
07.03.2018 15:30:47.441,,,,-3853190,,,,
07.03.2018 15:30:47.449,-4001105,,,,,,,
07.03.2018 15:30:47.457,,-3919901,,,,,,
07.03.2018 15:30:47.464,,,-3870300,,,,,
07.03.2018 15:30:47.472,,,,-3766132,,,,
07.03.2018 15:30:47.479,-3899979,,,,,,,
07.03.2018 15:30:47.487,,-3800007,,,,,,
07.03.2018 15:30:47.494,,,-3768479,,,,,
07.03.2018 15:30:47.502,,,,-3714217,,,,
07.03.2018 15:30:47.256,,,,,,1.53515625,0.1640625,0.05859375
07.03.2018 15:30:47.276,,,,,,1.1796875,0.05859375,-0.2265625
07.03.2018 15:30:47.296,,,,,,1.12109375,0.2109375,0.140625
07.03.2018 15:30:47.316,,,,,,0.91796875,0.37109375,-0.01171875
07.03.2018 15:30:47.336,,,,,,1.0859375,0.140625,0.09765625
07.03.2018 15:30:47.356,,,,,,1.0625,0.359375,-0.51953125
07.03.2018 15:30:47.509,-3880346,,,,,,,
07.03.2018 15:30:47.517,,-3787742,,,,,,
07.03.2018 15:30:47.524,,,-3758393,,,,,
07.03.2018 15:30:47.532,,,,-3701576,,,,
07.03.2018 15:30:47.539,-3860850,,,,,,,
07.03.2018 15:30:47.547,,-3756847,,,,,,
07.03.2018 15:30:47.554,,,-3715792,,,,,
07.03.2018 15:30:47.562,,,,-3649377,,,,
07.03.2018 15:30:47.569,-3803856,,,,,,,
07.03.2018 15:30:47.577,,-3691304,,,,,,
07.03.2018 15:30:47.584,,,-3647084,,,,,
07.03.2018 15:30:47.592,,,,-3580961,,,,
07.03.2018 15:30:47.599,-3736327,,,,,,,
07.03.2018 15:30:47.607,,-3629162,,,,,,
07.03.2018 15:30:47.614,,,-3592079,,,,,
07.03.2018 15:30:47.622,,,,-3539898,,,,
07.03.2018 15:30:47.629,-3708511,,,,,,,
07.03.2018 15:30:47.637,,-3622254,,,,,,
