Timestamp,Ambient,LED Group 625:625,LED Group 940:940,LED Group 525:525,Skin Temperature,Acceleration X,Acceleration Y,Acceleration Z
07.03.2018 15:35:05.122,-3527961,,,,,,,
07.03.2018 15:35:05.129,,-3431419,,,,,,
07.03.2018 15:35:05.137,,,-3411190,,,,,
07.03.2018 15:35:05.144,,,,-3348253,,,,
07.03.2018 15:35:05.152,-3520504,,,,,,,
07.03.2018 15:35:05.159,,-3423627,,,,,,
07.03.2018 15:35:05.167,,,-3403746,,,,,
07.03.2018 15:35:05.174,,,,-3341872,,,,
07.03.2018 15:35:05.182,-3517020,,,,,,,
07.03.2018 15:35:05.189,,-3420698,,,,,,
07.03.2018 15:35:05.197,,,-3403518,,,,,
07.03.2018 15:35:05.204,,,,-3344074,,,,
07.03.2018 15:35:05.212,-3521104,,,,,,,
07.03.2018 15:35:05.219,,-3425237,,,,,,
07.03.2018 15:35:05.227,,,-3407259,,,,,
07.03.2018 15:35:05.234,,,,-3348247,,,,
07.03.2018 15:35:05.242,-3525024,,,,,,,
07.03.2018 15:35:05.249,,-3428129,,,,,,
07.03.2018 15:35:05.257,,,-3408897,,,,,
07.03.2018 15:35:05.264,,,,-3348984,,,,
07.03.2018 15:35:05.272,-3524989,,,,,,,
07.03.2018 15:35:05.279,,-3426812,,,,,,
07.03.2018 15:35:05.287,,,-3406204,,,,,
07.03.2018 15:35:05.294,,,,-3346307,,,,
07.03.2018 15:35:05.302,-3522095,,,,,,,
07.03.2018 15:35:05.309,,-3424514,,,,,,
07.03.2018 15:35:05.317,,,-3403209,,,,,
07.03.2018 15:35:05.324,,,,-3342416,,,,
07.03.2018 15:35:05.332,-3519270,,,,,,,
07.03.2018 15:35:05.339,,-3420841,,,,,,
07.03.2018 15:35:05.347,,,-3398854,,,,,
07.03.2018 15:35:05.354,,,,-3337468,,,,
07.03.2018 15:35:05.105,,,,,,-0.203125,-0.01171875,-1.046875
07.03.2018 15:35:05.125,,,,,,-0.109375,-0.12109375,-0.9609375
07.03.2018 15:35:05.145,,,,,,-0.16015625,-0.125,-1.00390625
07.03.2018 15:35:05.165,,,,,,-0.17578125,-0.10546875,-1.0
07.03.2018 15:35:05.185,,,,,,-0.1875,-0.0546875,-0.95703125
07.03.2018 15:35:05.205,,,,,,-0.1796875,-0.06640625,-0.95703125
07.03.2018 15:35:05.362,-3515469,,,,,,,
07.03.2018 15:35:05.369,,-3417552,,,,,,
07.03.2018 15:35:05.377,,,-3393937,,,,,
07.03.2018 15:35:05.384,,,,-3333388,,,,
07.03.2018 15:35:05.392,-3510715,,,,,,,
07.03.2018 15:35:05.399,,-3412651,,,,,,
07.03.2018 15:35:05.407,,,-3389415,,,,,
07.03.2018 15:35:05.414,,,,-3328560,,,,
07.03.2018 15:35:05.422,-3506812,,,,,,,
07.03.2018 15:35:05.430,,-3408598,,,,,,
07.03.2018 15:35:05.437,,,-3385201,,,,,
07.03.2018 15:35:05.445,,,,-3324815,,,,
07.03.2018 15:35:05.452,-3504001,,,,,,,
07.03.2018 15:35:05.460,,-3405804,,,,,,
07.03.2018 15:35:05.467,,,-3382894,,,,,
07.03.2018 15:35:05.475,,,,-3321934,,,,
07.03.2018 15:35:05.482,-3502001,,,,,,,
07.03.2018 15:35:05.490,,-3403041,,,,,,
07.03.2018 15:35:05.497,,,-3379433,,,,,
07.03.2018 15:35:05.505,,,,-3318795,,,,
07.03.2018 15:35:05.512,-3499798,,,,,,,
07.03.2018 15:35:05.520,,-3401250,,,,,,
07.03.2018 15:35:05.527,,,-3377271,,,,,
07.03.2018 15:35:05.535,,,,-3317746,,,,
07.03.2018 15:35:05.542,-3499447,,,,,,,
07.03.2018 15:35:05.550,,-3401029,,,,,,
07.03.2018 15:35:05.557,,,-3376646,,,,,
07.03.2018 15:35:05.565,,,,-3317039,,,,
07.03.2018 15:35:05.572,-3499653,,,,,,,
07.03.2018 15:35:05.580,,-3401125,,,,,,
07.03.2018 15:35:05.587,,,-3376478,,,,,
07.03.2018 15:35:05.595,,,,-3317609,,,,
07.03.2018 15:35:05.225,,,,,,-0.17578125,-0.109375,-0.984375
07.03.2018 15:35:05.245,,,,,,-0.15625,-0.12890625,-0.96875
07.03.2018 15:35:05.265,,,,,,-0.13671875,-0.1328125,-1.01171875
07.03.2018 15:35:05.285,,,,,,-0.140625,-0.03125,-1.04296875
07.03.2018 15:35:05.305,,,,,,-0.13671875,0.0234375,-1.05078125
07.03.2018 15:35:05.325,,,,,,-0.13671875,0.0625,-1.03125
07.03.2018 15:35:05.602,-3501037,,,,,,,
07.03.2018 15:35:05.610,,-3402807,,,,,,
07.03.2018 15:35:05.617,,,-3378278,,,,,
07.03.2018 15:35:05.625,,,,-3318411,,,,
07.03.2018 15:35:05.632,-3502501,,,,,,,
07.03.2018 15:35:05.640,,-3403654,,,,,,
07.03.2018 15:35:05.647,,,-3377987,,,,,
07.03.2018 15:35:05.655,,,,-3318305,,,,
07.03.2018 15:35:05.662,-3502672,,,,,,,
07.03.2018 15:35:05.670,,-3403350,,,,,,
07.03.2018 15:35:05.677,,,-3376911,,,,,
07.03.2018 15:35:05.685,,,,-3319071,,,,
07.03.2018 15:35:05.692,-3504979,,,,,,,
07.03.2018 15:35:05.700,,-3407150,,,,,,
07.03.2018 15:35:05.707,,,-3381217,,,,,
07.03.2018 15:35:05.715,,,,-3322121,,,,
07.03.2018 15:35:05.722,-3508616,,,,,,,
07.03.2018 15:35:05.730,,-3411615,,,,,,
07.03.2018 15:35:05.737,,,-3388150,,,,,
07.03.2018 15:35:05.745,,,,-3332092,,,,
07.03.2018 15:35:05.752,-3522108,,,,,,,
07.03.2018 15:35:05.760,,-3428803,,,,,,
07.03.2018 15:35:05.767,,,-3406817,,,,,
07.03.2018 15:35:05.775,,,,-3350899,,,,
07.03.2018 15:35:05.782,-3541904,,,,,,,
07.03.2018 15:35:05.790,,-3444511,,,,,,
07.03.2018 15:35:05.797,,,-3417331,,,,,
07.03.2018 15:35:05.805,,,,-3359050,,,,
07.03.2018 15:35:05.812,-3552284,,,,,,,
07.03.2018 15:35:05.820,,-3498308,,,,,,
07.03.2018 15:35:05.827,,,-3501185,,,,,
07.03.2018 15:35:05.835,,,,-3454695,,,,
07.03.2018 15:35:05.345,,,,,,-0.11328125,-0.08984375,-1.02734375
07.03.2018 15:35:05.365,,,,,,-0.14453125,-0.06640625,-1.08984375
07.03.2018 15:35:05.385,,,,,,-0.1640625,-0.20703125,-1.08203125
07.03.2018 15:35:05.405,,,,,,-0.21484375,-0.07421875,-1.078125
07.03.2018 15:35:05.425,,,,,,-0.2109375,0.1171875,-0.85546875
07.03.2018 15:35:05.445,,,,,,-0.265625,0.0546875,-0.78515625
07.03.2018 15:35:05.842,-3650673,,,,,,,
07.03.2018 15:35:05.850,,-3555627,,,,,,
07.03.2018 15:35:05.857,,,-3531548,,,,,
07.03.2018 15:35:05.865,,,,-3473122,,,,
07.03.2018 15:35:05.872,-3667283,,,,,,,
07.03.2018 15:35:05.880,,-3574743,,,,,,
07.03.2018 15:35:05.887,,,-3551174,,,,,
07.03.2018 15:35:05.895,,,,-3488353,,,,
07.03.2018 15:35:05.902,-3675256,,,,,,,
07.03.2018 15:35:05.910,,-3560271,,,,,,
07.03.2018 15:35:05.917,,,-3502584,,,,,
07.03.2018 15:35:05.925,,,,-3386087,,,,
07.03.2018 15:35:05.932,-3548250,,,,,,,
07.03.2018 15:35:05.940,,-3430415,,,,,,
07.03.2018 15:35:05.947,,,-3399356,,,,,
07.03.2018 15:35:05.955,,,,-3339589,,,,
07.03.2018 15:35:05.962,-3532451,,,,,,,
07.03.2018 15:35:05.970,,-3431550,,,,,,
07.03.2018 15:35:05.978,,,-3399077,,,,,
07.03.2018 15:35:05.985,,,,-3335972,,,,
07.03.2018 15:35:05.993,-3529799,,,,,,,
07.03.2018 15:35:06.000,,-3428601,,,,,,
07.03.2018 15:35:06.008,,,-3398731,,,,,
07.03.2018 15:35:06.015,,,,-3350249,,,,
07.03.2018 15:35:06.023,-3569440,,,,,,,
07.03.2018 15:35:06.030,,-3504784,,,,,,
07.03.2018 15:35:06.038,,,-3536034,,,,,
07.03.2018 15:35:06.045,,,,-3531877,,,,
07.03.2018 15:35:06.053,-3776170,,,,,,,
07.03.2018 15:35:06.060,,-3718937,,,,,,
07.03.2018 15:35:06.068,,,-3723162,,,,,
07.03.2018 15:35:06.075,,,,-3681962,,,,
07.03.2018 15:35:05.465,,,,,,-0.27734375,-0.06640625,-0.9140625
07.03.2018 15:35:05.485,,,,,,-0.23828125,-0.0546875,-0.87890625
07.03.2018 15:35:05.505,,,,,,-0.39453125,0.07421875,-0.765625
07.03.2018 15:35:05.525,,,,,,-0.125,-0.4921875,-0.77734375
07.03.2018 15:35:05.545,,,,,,-0.9453125,-0.06640625,-0.1796875
07.03.2018 15:35:05.565,,,,,,-1.39453125,-0.38671875,0.1875
07.03.2018 15:35:05.585,,,,,,-1.05078125,0.171875,-0.66015625
07.03.2018 15:35:05.605,,,,,,-1.0234375,-0.16015625,0.08984375
07.03.2018 15:35:05.625,,,,,,-0.80859375,-0.0703125,-0.07421875
07.03.2018 15:35:05.645,,,,,,-0.76171875,0.00390625,-0.203125
07.03.2018 15:35:05.665,,,,,,-0.84375,-0.046875,0.22265625
07.03.2018 15:35:05.685,,,,,,-1.0078125,-0.07421875,0.34375
07.03.2018 15:35:06.083,-3888270,,,,,,,
07.03.2018 15:35:06.090,,-3810867,,,,,,
07.03.2018 15:35:06.098,,,-3793722,,,,,
07.03.2018 15:35:06.105,,,,-3738301,,,,
07.03.2018 15:35:06.113,-3939801,,,,,,,
07.03.2018 15:35:06.120,,-3868510,,,,,,
07.03.2018 15:35:06.128,,,-3862763,,,,,
07.03.2018 15:35:06.135,,,,-3814031,,,,
07.03.2018 15:35:06.143,-4004901,,,,,,,
07.03.2018 15:35:06.150,,-3951592,,,,,,
07.03.2018 15:35:06.158,,,-3945811,,,,,
07.03.2018 15:35:06.165,,,,-3884397,,,,
07.03.2018 15:35:06.173,-4057871,,,,,,,
07.03.2018 15:35:06.180,,-3973716,,,,,,
07.03.2018 15:35:06.188,,,-3954664,,,,,
07.03.2018 15:35:06.195,,,,-3888864,,,,
07.03.2018 15:35:06.203,-4056993,,,,,,,
07.03.2018 15:35:06.210,,-3969606,,,,,,
07.03.2018 15:35:06.218,,,-3947225,,,,,
07.03.2018 15:35:06.225,,,,-3870456,,,,
07.03.2018 15:35:06.233,-4038311,,,,,,,
07.03.2018 15:35:06.240,,-3957731,,,,,,
07.03.2018 15:35:06.248,,,-3939595,,,,,
07.03.2018 15:35:06.255,,,,-3870285,,,,
07.03.2018 15:35:06.263,-4040737,,,,,,,
07.03.2018 15:35:06.270,,-3962744,,,,,,
07.03.2018 15:35:06.278,,,-3941341,,,,,
07.03.2018 15:35:06.285,,,,-3870217,,,,
07.03.2018 15:35:06.293,-4036302,,,,,,,
07.03.2018 15:35:06.300,,-3959895,,,,,,
07.03.2018 15:35:06.308,,,-3938444,,,,,
07.03.2018 15:35:06.315,,,,-3866005,,,,
07.03.2018 15:35:05.705,,,,,,-1.0859375,-0.015625,-0.015625
07.03.2018 15:35:05.725,,,,,,-0.97265625,-0.0546875,0.08203125
07.03.2018 15:35:05.745,,,,,,-0.76953125,0.015625,-0.0625
07.03.2018 15:35:05.765,,,,,,-1.05859375,-0.10546875,0.125
07.03.2018 15:35:05.785,,,,,,-0.95703125,-0.0234375,0.25
07.03.2018 15:35:05.805,,,,,,-0.7890625,0.1875,-0.04296875
07.03.2018 15:35:06.323,-4031340,,,,,,,
07.03.2018 15:35:06.330,,-3954812,,,,,,
07.03.2018 15:35:06.338,,,-3927716,,,,,
07.03.2018 15:35:06.345,,,,-3849359,,,,
07.03.2018 15:35:06.353,-4008530,,,,,,,
07.03.2018 15:35:06.360,,-3930260,,,,,,
07.03.2018 15:35:06.368,,,-3888306,,,,,
07.03.2018 15:35:06.375,,,,-3803709,,,,
07.03.2018 15:35:06.383,-3967525,,,,,,,
07.03.2018 15:35:06.390,,-3876029,,,,,,
07.03.2018 15:35:06.398,,,-3828628,,,,,
07.03.2018 15:35:06.405,,,,-3743404,,,,
07.03.2018 15:35:06.413,-3915877,,,,,,,
07.03.2018 15:35:06.420,,-3815455,,,,,,
07.03.2018 15:35:06.428,,,-3765981,,,,,
07.03.2018 15:35:06.435,,,,-3684306,,,,
07.03.2018 15:35:06.443,-3863503,,,,,,,
07.03.2018 15:35:06.450,,-3769682,,,,,,
07.03.2018 15:35:06.458,,,-3727104,,,,,
07.03.2018 15:35:06.465,,,,-3653259,,,,
