"Session","Index","Timestamp","Date","Time","O2 Saturation","Beats / min","Breaths / min","Pleth Variability","Perfusion Index"
"0","0","1506081069","Friday, 22 September 2017","13:51:09 Central European Summer Time","97","85","10","17","9.0"
"0","1","1506081070","Friday, 22 September 2017","13:51:10 Central European Summer Time","97","84","10","17","9.1"
"0","2","1506081071","Friday, 22 September 2017","13:51:11 Central European Summer Time","97","82","10","17","9.1"
"0","3","1506081072","Friday, 22 September 2017","13:51:12 Central European Summer Time","97","81","10","17","9.2"
"0","4","1506081073","Friday, 22 September 2017","13:51:13 Central European Summer Time","97","79","11","17","9.5"
"0","5","1506081074","Friday, 22 September 2017","13:51:14 Central European Summer Time","97","78","11","17","10"
"0","6","1506081075","Friday, 22 September 2017","13:51:15 Central European Summer Time","97","77","11","17","11"
"0","7","1506081076","Friday, 22 September 2017","13:51:16 Central European Summer Time","97","76","11","17","11"
"0","8","1506081077","Friday, 22 September 2017","13:51:17 Central European Summer Time","97","76","11","17","11"
"0","9","1506081078","Friday, 22 September 2017","13:51:18 Central European Summer Time","98","76","11","17","11"
"0","10","1506081079","Friday, 22 September 2017","13:51:19 Central European Summer Time","98","76","11","17","11"
"0","11","1506081080","Friday, 22 September 2017","13:51:20 Central European Summer Time","98","81","11","17","10"
"0","12","1506081081","Friday, 22 September 2017","13:51:21 Central European Summer Time","97","82","11","17","9.4"
"0","13","1506081082","Friday, 22 September 2017","13:51:22 Central European Summer Time","97","83","11","16","8.7"
"0","14","1506081083","Friday, 22 September 2017","13:51:23 Central European Summer Time","97","84","11","16","8.4"
"0","15","1506081084","Friday, 22 September 2017","13:51:24 Central European Summer Time","97","84","11","16","8.4"
"0","16","1506081085","Friday, 22 September 2017","13:51:25 Central European Summer Time","98","85","12","16","8.3"
"0","17","1506081086","Friday, 22 September 2017","13:51:26 Central European Summer Time","98","86","12","16","8.6"
"0","18","1506081087","Friday, 22 September 2017","13:51:27 Central European Summer Time","98","86","11","16","8.6"
"0","19","1506081088","Friday, 22 September 2017","13:51:28 Central European Summer Time","98","85","11","16","9.2"
"0","20","1506081089","Friday, 22 September 2017","13:51:29 Central European Summer Time","98","84","11","16","9.4"
"0","21","1506081090","Friday, 22 September 2017","13:51:30 Central European Summer Time","98","82","11","16","9.7"
"0","22","1506081091","Friday, 22 September 2017","13:51:31 Central European Summer Time","98","82","10","16","9.6"
"0","23","1506081092","Friday, 22 September 2017","13:51:32 Central European Summer Time","98","82","10","16","9.8"
"0","24","1506081093","Friday, 22 September 2017","13:51:33 Central European Summer Time","98","83","10","16","9.7"
"0","25","1506081094","Friday, 22 September 2017","13:51:34 Central European Summer Time","98","83","10","16","9.6"
"0","26","1506081095","Friday, 22 September 2017","13:51:35 Central European Summer Time","98","84","10","16","9.2"
"0","27","1506081096","Friday, 22 September 2017","13:51:36 Central European Summer Time","98","84","8","16","9.2"
"0","28","1506081097","Friday, 22 September 2017","13:51:37 Central European Summer Time","98","85","8","16","8.6"
"0","29","1506081098","Friday, 22 September 2017","13:51:38 Central European Summer Time","98","86","8","16","8.5"
"0","30","1506081099","Friday, 22 September 2017","13:51:39 Central European Summer Time","98","88","8","16","8.4"
"0","31","1506081100","Friday, 22 September 2017","13:51:40 Central European Summer Time","98","88","8","16","8.4"
"0","32","1506081101","Friday, 22 September 2017","13:51:41 Central European Summer Time","98","89","8","16","8.5"
"0","33","1506081102","Friday, 22 September 2017","13:51:42 Central European Summer Time","98","91","8","16","8.5"
